Stock Number,Name,Brand,Collection,Department,Item Type,Styles,Gender,Materials,Description,Image 1,Details,Availability,Price Notes,Price,Width,Fit,Settings,Total Carat Weight,xItem Sub Type
"ER9866D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","122RD=.32 14KY","https://bassalijewelry.com/images/items/ER9866D.jpg","","4","","1320","","","","","Studs"
"ER9866WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","122RD=.32 14KW","https://bassalijewelry.com/images/items/ER9866WD.jpg","","4","","1320","","","","","Studs"
"ER9867D","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","74RD=.20 14KY","https://bassalijewelry.com/images/items/ER9867D.jpg","","2","","900","","","","","Studs"
"ER9867KD","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","74RD=.20 14KR","https://bassalijewelry.com/images/items/ER9867KD.jpg","","3","","900","","","","","Studs"
"ER9867WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","74RD=.20 14KW","https://bassalijewelry.com/images/items/ER9867WD.jpg","","5","","900","","","","","Studs"
"ER9867WD-R","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","74RD=.20 14K (BlkRh)","https://bassalijewelry.com/images/items/ER9867WD-R.jpg","","1","","900","","","","","Studs"
"ER9868WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","42RD=.12 14KW","https://bassalijewelry.com/images/items/ER9868WD.jpg","","1","","540","","","","","Studs"
"ER9869D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","80RD=.19 14KY","https://bassalijewelry.com/images/items/ER9869D.jpg","","1","","900","","","","","Studs"
"ER9869KD","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","80RD=.19 14KR","https://bassalijewelry.com/images/items/ER9869KD.jpg","","1","","900","","","","","Studs"
"ER9869WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","80RD=.19 14KW","https://bassalijewelry.com/images/items/ER9869WD.jpg","","1","","900","","","","","Studs"
"ER9870WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","18RD=.21 14KW","https://bassalijewelry.com/images/items/ER9870WD.jpg","","1","","1020","","","","","Hoops"
"ER9871D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","38RD=.10 14KY","https://bassalijewelry.com/images/items/ER9871D.jpg","","4","","540","","","","","Studs"
"ER9871KD","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","38RD=.10 14KR","https://bassalijewelry.com/images/items/ER9871KD.jpg","","2","","540","","","","","Studs"
"ER9871WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","38RD=.10 14KW","https://bassalijewelry.com/images/items/ER9871WD.jpg","","10","","540","","","","","Studs"
"ER9872WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","42RD=.11 14KW","https://bassalijewelry.com/images/items/ER9872WD.jpg","","1","","630","","","","","Studs"
"ER6609WDO","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","108RD=.60 18K","https://bassalijewelry.com/images/items/ER6609WDO.jpg","","1","","3300","","","","","Dangle"
"ER6641WDC","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","29RD=.17 2BR/CITR C=7.38","https://bassalijewelry.com/images/items/ER6641WDC.jpg","","1","","1260","","","","","Dangle"
"ER9905WDE","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","28RD=.28 2RD/EMER E=.23 18KW","https://bassalijewelry.com/images/items/ER9905WDE.jpg","","3","","1110","","","","","Studs"
"ER9905WDR","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","28RD=.28 2RD/RUBY R=.24 18KW","https://bassalijewelry.com/images/items/ER9905WDR.jpg","","2","","1110","","","","","Studs"
"ER9905WDS","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","28RD=.28 2RD/SAPH S=.23 18KW","https://bassalijewelry.com/images/items/ER9905WDS.jpg","","3","","1110","","","","","Studs"
"ER9906WD","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","32RD=.37 18K","https://bassalijewelry.com/images/items/ER9906WD.jpg","","1","","1800","","","","","Studs"
"ER9906WDR","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","30RD=.37 2RD/RUBY R=.37 18K","https://bassalijewelry.com/images/items/ER9906WDR.jpg","","2","","1200","","","","","Studs"
"ER9906WDS","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","30RD=.37 2RD/SAPH S=.37 18K","https://bassalijewelry.com/images/items/ER9906WDS.jpg","","1","","1200","","","","","Studs"
"ER9907WDR","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","28RD=.12 2RD/RUBY R=.46 18K","https://bassalijewelry.com/images/items/ER9907WDR.jpg","","1","","1320","","","","","Studs"
"ER9958DCH","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","24RD=.06 76CH=.97 14K","https://bassalijewelry.com/images/items/ER9958DCH.jpg","","1","","3210","","","","","Dangle"
"ER9976KDB","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","22RD=.07 144BT=4.49 14KR","https://bassalijewelry.com/images/items/ER9976KDB.jpg","","1","","2820","","","","","Dangle"
"ER9977WDS","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","176RD=1.00 18RD/SAPH S=.72 14K","https://bassalijewelry.com/images/items/ER9977WDS.jpg","","1","","4200","","","","","Dangle"
"ER6749WD","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","14RD=.84 18K","https://bassalijewelry.com/images/items/ER6749WD.jpg","","1","","3000","","","","","Studs"
"ER6900DSQ","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","2RD=.05 4MQ/SQTZ SQ=6.60","https://bassalijewelry.com/images/items/ER6900DSQ.jpg","","1","","1050","","","","","Dangle"
"ER11105KDMP","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","192RD=.42 4MOPL 14K","https://bassalijewelry.com/images/items/ER11105KDMP.jpg","","1","","2160","","","","","Dangle"
"ER11108D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","140RD=.32 14KY","https://bassalijewelry.com/images/items/ER11108D.jpg","","1","","1440","","","","","Dangle"
"ER11108WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","140RD=.32 14K","https://bassalijewelry.com/images/items/ER11108WD.jpg","","1","","1440","","","","","Dangle"
